Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 19.69      0.37     0.37 24357982     0.00     0.00  game_world_getxy
 13.83      0.63     0.26 97349027     0.00     0.00  qu_get
 13.30      0.88     0.25                             _init
 11.71      1.10     0.22 48643758     0.00     0.00  topleft_coordinate
  8.51      1.26     0.16 24321879     0.00     0.00  world_getxy
  6.38      1.38     0.12 24321906     0.00     0.00  ht_entry
  6.12      1.50     0.12 24321906     0.00     0.00  chunk_lookup
  4.79      1.59     0.09                             qu_peek_tail
  3.19      1.65     0.06 24321916     0.00     0.00  chunk_ht_hash
  3.19      1.71     0.06        9     0.01     0.01  is_arena_full
  1.60      1.74     0.03     7042     0.00     0.00  draw_gamewin
  1.60      1.77     0.03        1     0.03     0.05  world_init
  1.06      1.79     0.02       10     0.00     0.00  ht_insert
  0.80      1.80     0.02        1     0.02     0.02  chunk_create
  0.53      1.81     0.01 24321906     0.00     0.00  ht_lookup
  0.53      1.82     0.01    35256     0.00     0.00  rq_run
  0.53      1.83     0.01     7042     0.00     0.00  draw_keyboard_state
  0.53      1.84     0.01     7042     0.00     0.00  draw_main_menu
  0.53      1.85     0.01     4596     0.00     0.00  update_game_world
  0.53      1.86     0.01        1     0.01     0.01  game_get_context
  0.53      1.87     0.01        1     0.01     0.01  noise_free
  0.27      1.88     0.01     7052     0.00     0.00  timer_sleep
  0.27      1.88     0.01                             timer_print
  0.00      1.88     0.00   105438     0.00     0.00  timer_diff_milisec
  0.00      1.88     0.00    84504     0.00     0.00  keyid_to_string
  0.00      1.88     0.00    82739     0.00     0.00  qu_empty
  0.00      1.88     0.00    49302     0.00     0.00  draw_line
  0.00      1.88     0.00    49294     0.00     0.00  draw_clock_needle
  0.00      1.88     0.00    41364     0.00     0.00  qu_dequeue
  0.00      1.88     0.00    37079     0.00     0.00  kb_down
  0.00      1.88     0.00    36779     0.00     0.00  qu_enqueue
  0.00      1.88     0.00    36779     0.00     0.00  qu_full
  0.00      1.88     0.00    22980     0.00     0.00  qu_next
  0.00      1.88     0.00    18384     0.00     0.00  tick_entity_behaviour
  0.00      1.88     0.00    16040     0.00     0.00  vec2_dot
  0.00      1.88     0.00    14107     0.00     0.00  timer_now
  0.00      1.88     0.00    14104     0.00     0.00  timer_diff
  0.00      1.88     0.00    14084     0.00     0.00  sign_of_int
  0.00      1.88     0.00    14084     0.00     0.00  st_peek
  0.00      1.88     0.00    13788     0.00     0.00  default_find_path
  0.00      1.88     0.00    13788     0.00     0.00  default_tick
  0.00      1.88     0.00    13788     0.00     0.00  set_entity_facing
  0.00      1.88     0.00    12030     0.00     0.00  lerp
  0.00      1.88     0.00     8020     0.00     0.00  fade
  0.00      1.88     0.00     7052     0.00     0.00  timer_synchronize
  0.00      1.88     0.00     7051     0.00     0.00  jobMain
  0.00      1.88     0.00     7051     0.00     0.00  jobUI
  0.00      1.88     0.00     7051     0.00     0.00  wake_tasks
  0.00      1.88     0.00     7050     0.00     0.00  jobIO
  0.00      1.88     0.00     7050     0.00     0.00  jobInput
  0.00      1.88     0.00     7050     0.00     0.00  keyboard_poll
  0.00      1.88     0.00     7050     0.00     0.00  timer_ready
  0.00      1.88     0.00     7042     0.00     0.00  UI_loop
  0.00      1.88     0.00     7042     0.00     0.00  UI_update_time
  0.00      1.88     0.00     7042     0.00     0.00  draw_rt_clock
  0.00      1.88     0.00     7042     0.00     0.00  draw_uiwin
  0.00      1.88     0.00     4601     0.00     0.00  tk_sleep
  0.00      1.88     0.00     4599     0.00     0.00  ll_full
  0.00      1.88     0.00     4599     0.00     0.00  ll_insert
  0.00      1.88     0.00     4597     0.00     0.00  ll_empty
  0.00      1.88     0.00     4596     0.00     0.00  ll_rm
  0.00      1.88     0.00     4596     0.00     0.00  player_tick
  0.00      1.88     0.00     4596     0.00     0.00  qu_peek
  0.00      1.88     0.00     3210     0.00     0.00  perlin_noise_2D
  0.00      1.88     0.00     3200     0.00     0.00  chunk_populate_plains
  0.00      1.88     0.00      800     0.00     0.00  chunk_populate_mine
  0.00      1.88     0.00      800     0.00     0.00  perlin_noise_2D_var
  0.00      1.88     0.00       54     0.00     0.00  man_dist
  0.00      1.88     0.00       17     0.00     0.00  timer_never
  0.00      1.88     0.00       10     0.00     0.01  _chunk_create
  0.00      1.88     0.00       10     0.00     0.00  chunk_arena_next
  0.00      1.88     0.00       10     0.00     0.00  chunk_determine_type
  0.00      1.88     0.00       10     0.00     0.01  chunk_get_free
  0.00      1.88     0.00       10     0.00     0.00  chunk_populate
  0.00      1.88     0.00        9     0.00     0.01  chunk_insert
  0.00      1.88     0.00        9     0.00     0.00  chunk_nearest
  0.00      1.88     0.00        9     0.00     0.00  qu_init
  0.00      1.88     0.00        8     0.00     0.00  create_entity_type
  0.00      1.88     0.00        8     0.00     0.00  create_skin
  0.00      1.88     0.00        5     0.00     0.00  create_task
  0.00      1.88     0.00        5     0.00     0.00  rq_add
  0.00      1.88     0.00        5     0.00     0.00  rq_full
  0.00      1.88     0.00        5     0.00     0.00  schedule_cb
  0.00      1.88     0.00        5     0.00     0.00  tk_kill
  0.00      1.88     0.00        4     0.00     0.00  create_default_entity_controller
  0.00      1.88     0.00        4     0.00     0.00  entity_spawn
  0.00      1.88     0.00        4     0.00     0.00  rm_task
  0.00      1.88     0.00        4     0.00     0.00  rq_empty
  0.00      1.88     0.00        4     0.00     0.00  rq_pop
  0.00      1.88     0.00        4     0.00     0.00  st_init
  0.00      1.88     0.00        4     0.00     0.00  window_insert_draw_func
  0.00      1.88     0.00        3     0.00     0.00  free_window
  0.00      1.88     0.00        3     0.00     0.00  init_window
  0.00      1.88     0.00        3     0.00     0.00  ll_init
  0.00      1.88     0.00        3     0.00     0.00  schedule
  0.00      1.88     0.00        3     0.00     0.00  window_mgr_add
  0.00      1.88     0.00        2     0.00     0.00  _draw_square
  0.00      1.88     0.00        2     0.00     0.00  box_win
  0.00      1.88     0.00        2     0.00     0.00  draw_square
  0.00      1.88     0.00        2     0.00     0.00  noise_init
  0.00      1.88     0.00        2     0.00     0.00  rq_init
  0.00      1.88     0.00        2     0.00     0.00  rq_kill_all_tasks
  0.00      1.88     0.00        2     0.00     0.00  scheduler_new_rq
