Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 50.01      0.01     0.01     7095     0.00     0.00  timer_to_ms
 50.01      0.01     0.01     7094     0.00     0.00  timer_sleep
  0.00      0.01     0.00    85104     0.00     0.00  timer_diff_millisec
  0.00      0.01     0.00    20093     0.00     0.00  kb_down
  0.00      0.01     0.00    16040     0.00     0.00  vec2_dot
  0.00      0.01     0.00    14191     0.00     0.00  timer_now
  0.00      0.01     0.00    14188     0.00     0.00  timer_diff
  0.00      0.01     0.00    14184     0.00     0.00  keyid_to_string
  0.00      0.01     0.00    12291     0.00     0.00  _pq_peek
  0.00      0.01     0.00    12030     0.00     0.00  lerp
  0.00      0.01     0.00    10643     0.00     0.00  pq_empty
  0.00      0.01     0.00     9459     0.00     0.00  rq_run
  0.00      0.01     0.00     9331     0.00     0.00  game_cache_get
  0.00      0.01     0.00     8282     0.00     0.00  draw_line
  0.00      0.01     0.00     8274     0.00     0.00  draw_clock_needle
  0.00      0.01     0.00     8020     0.00     0.00  fade
  0.00      0.01     0.00     7116     0.00     0.00  topleft_coordinate
  0.00      0.01     0.00     7097     0.00     0.00  pq_peek
  0.00      0.01     0.00     7094     0.00     0.00  timer_synchronize
  0.00      0.01     0.00     7094     0.00     0.00  wake_tasks
  0.00      0.01     0.00     7092     0.00     0.00  job_input
  0.00      0.01     0.00     7092     0.00     0.00  keyboard_poll
  0.00      0.01     0.00     4747     0.00     0.00  game_world_getxy
  0.00      0.01     0.00     4010     0.00     0.00  perlin_noise_2D
  0.00      0.01     0.00     3783     0.00     0.00  minh_insert
  0.00      0.01     0.00     3783     0.00     0.00  pq_enqueue
  0.00      0.01     0.00     3779     0.00     0.00  minh_pop
  0.00      0.01     0.00     3779     0.00     0.00  pq_dequeue
  0.00      0.01     0.00     3595     0.00     0.00  chunk_ht_hash
  0.00      0.01     0.00     3585     0.00     0.00  chunk_lookup
  0.00      0.01     0.00     3585     0.00     0.00  ht_entry
  0.00      0.01     0.00     3585     0.00     0.00  ht_lookup
  0.00      0.01     0.00     3558     0.00     0.00  world_getxy
  0.00      0.01     0.00     3549     0.00     0.00  qu_get
  0.00      0.01     0.00     2837     0.00     0.00  qu_empty
  0.00      0.01     0.00     2367     0.00     0.00  rq_add
  0.00      0.01     0.00     2367     0.00     0.00  rq_empty
  0.00      0.01     0.00     2367     0.00     0.00  rq_pop
